,StateCode,State,nb,nb_idx,stock_self,stock_nb,stock_sns
38,RI,Rhode Island,"['CT', 'MA']","[6, 18]",116.0,"[0, 0]",0
39,SC,South Carolina,"['GA', 'NC']","[9, 26]",632.0,"[0, 0]",0
40,SD,South Dakota,"['IA', 'MN', 'MT', 'ND', 'NE', 'WY']","[11, 22, 25, 27, 28, 49]",262.0,"[0, 0, 0, 0, 0, 0]",0
41,TN,Tennessee,"['AL', 'AR', 'GA', 'KY', 'MO', 'MS', 'NC', 'VA']","[1, 2, 9, 16, 23, 24, 26, 44]",380.0,"[0, 40, 0, 130, 78, 0, 213, 253]",0
42,TX,Texas,"['AR', 'LA', 'NM', 'OK']","[2, 17, 31, 35]",3965.0,"[0, 0, 0, 0]",0
43,UT,Utah,"['AZ', 'CO', 'ID', 'NM', 'NV', 'WY']","[3, 5, 12, 31, 32, 49]",288.0,"[0, 0, 0, 0, 0, 0]",0
44,VA,Virginia,"['DC', 'KY', 'MD', 'NC', 'TN', 'WV']","[50, 16, 19, 26, 41, 48]",1013.0,"[0, 0, 0, 0, 0, 0]",0
45,VT,Vermont,"['MA', 'NH', 'NY']","[18, 29, 33]",49.0,"[0, 0, 0]",0
46,WA,Washington,"['AK', 'ID', 'OR']","[0, 12, 36]",600.0,"[0, 0, 0]",0
47,WI,Wisconsin,"['IA', 'IL', 'MI', 'MN']","[11, 13, 21, 22]",166.0,"[0, 0, 0, 0]",0
48,WV,West Virginia,"['KY', 'MD', 'OH', 'PA', 'VA']","[16, 19, 34, 37, 44]",280.0,"[0, 0, 0, 0, 0]",0
49,WY,Wyoming,"['CO', 'ID', 'MT', 'NE', 'SD', 'UT']","[5, 12, 25, 28, 40, 43]",72.0,"[0, 0, 0, 0, 0, 0]",0
50,DC,District of Columbia,"['MD', 'VA']","[19, 44]",220.0,"[0, 0]",0
51,SNS,,,,0.0,,0
